Date,Open
1-Jan-19,"3,709.50"
2-Jan-19,"3,809.70"
3-Jan-19,"3,874.10"
4-Jan-19,"3,780.50"
5-Jan-19,"3,802.80"
6-Jan-19,"3,785.70"
7-Jan-19,"4,004.30"
8-Jan-19,"3,985.80"
9-Jan-19,"3,971.00"
10-Jan-19,"3,978.90"
11-Jan-19,"3,603.30"
12-Jan-19,"3,616.60"
13-Jan-19,"3,597.30"
14-Jan-19,"3,490.40"
15-Jan-19,"3,637.50"
16-Jan-19,"3,570.60"
17-Jan-19,"3,588.10"
18-Jan-19,"3,626.30"
19-Jan-19,"3,605.80"
20-Jan-19,"3,676.20"
21-Jan-19,"3,542.70"
22-Jan-19,"3,536.90"
23-Jan-19,"3,580.10"
24-Jan-19,"3,561.40"
25-Jan-19,"3,574.30"
26-Jan-19,"3,572.00"
27-Jan-19,"3,570.90"
28-Jan-19,"3,555.80"
29-Jan-19,"3,442.80"
30-Jan-19,"3,414.60"
31-Jan-19,"3,460.00"
1-Feb-19,"3,437.70"
2-Feb-19,"3,467.90"
3-Feb-19,"3,502.30"
4-Feb-19,"3,459.00"
5-Feb-19,"3,463.00"
6-Feb-19,"3,468.50"
7-Feb-19,"3,404.90"
8-Feb-19,"3,397.30"
9-Feb-19,"3,661.60"
10-Feb-19,"3,661.00"
11-Feb-19,"3,678.80"
12-Feb-19,"3,631.80"
13-Feb-19,"3,632.00"
14-Feb-19,"3,611.50"
15-Feb-19,"3,592.60"
16-Feb-19,"3,604.70"
17-Feb-19,"3,616.80"
18-Feb-19,"3,664.20"
19-Feb-19,"3,896.40"
20-Feb-19,"3,914.30"
21-Feb-19,"3,972.00"
22-Feb-19,"3,937.40"
23-Feb-19,"3,965.20"
24-Feb-19,"4,120.50"
25-Feb-19,"3,755.70"
26-Feb-19,"3,833.50"
27-Feb-19,"3,810.30"
28-Feb-19,"3,814.60"
1-Mar-19,"3,816.70"
2-Mar-19,"3,821.90"
3-Mar-19,"3,823.20"
4-Mar-19,"3,809.70"
5-Mar-19,"3,715.90"
6-Mar-19,"3,857.20"
7-Mar-19,"3,863.10"
8-Mar-19,"3,875.10"
9-Mar-19,"3,865.60"
10-Mar-19,"3,944.40"
11-Mar-19,"3,915.20"
12-Mar-19,"3,870.30"
13-Mar-19,"3,885.90"
14-Mar-19,"3,865.10"
15-Mar-19,"3,879.00"
16-Mar-19,"3,924.40"
17-Mar-19,"4,006.40"
18-Mar-19,"3,981.50"
19-Mar-19,"3,990.20"
20-Mar-19,"4,017.00"
21-Mar-19,"4,041.20"
22-Mar-19,"3,982.20"
23-Mar-19,"3,990.40"
24-Mar-19,"4,002.60"
25-Mar-19,"3,994.80"
26-Mar-19,"3,937.10"
27-Mar-19,"3,942.80"
28-Mar-19,"4,041.70"
29-Mar-19,"4,025.70"
30-Mar-19,"4,103.70"
31-Mar-19,"4,111.80"
1-Apr-19,"4,102.30"
2-Apr-19,"4,145.10"
3-Apr-19,"4,859.30"
4-Apr-19,"4,968.70"
5-Apr-19,"4,902.50"
6-Apr-19,"5,010.00"
7-Apr-19,"5,046.10"
8-Apr-19,"5,173.50"
9-Apr-19,"5,245.00"
10-Apr-19,"5,158.40"
11-Apr-19,"5,307.70"
12-Apr-19,"5,022.70"
13-Apr-19,"5,054.20"
14-Apr-19,"5,052.00"
15-Apr-19,"5,135.10"
16-Apr-19,"5,031.40"
17-Apr-19,"5,182.10"
18-Apr-19,"5,208.30"
19-Apr-19,"5,264.80"
20-Apr-19,"5,241.00"
21-Apr-19,"5,290.20"
22-Apr-19,"5,248.20"
23-Apr-19,"5,346.50"
24-Apr-19,"5,511.20"
25-Apr-19,"5,415.60"
26-Apr-19,"5,209.20"
27-Apr-19,"5,298.20"
28-Apr-19,"5,265.70"
29-Apr-19,"5,302.40"
30-Apr-19,"5,235.40"
1-May-19,"5,321.10"
2-May-19,"5,384.60"
3-May-19,"5,493.60"
4-May-19,"5,768.00"
5-May-19,"5,830.80"
6-May-19,"5,775.10"
7-May-19,"5,745.50"
8-May-19,"5,849.40"
9-May-19,"5,990.50"
10-May-19,"6,194.30"
11-May-19,"6,386.60"
12-May-19,"7,190.00"
13-May-19,"6,984.70"
14-May-19,"7,806.40"
15-May-19,"7,994.80"
16-May-19,"8,164.80"
17-May-19,"7,871.90"
18-May-19,"7,359.90"
19-May-19,"7,261.90"
20-May-19,"8,156.40"
21-May-19,"7,965.00"
22-May-19,"7,928.70"
23-May-19,"7,637.20"
24-May-19,"7,852.80"
25-May-19,"7,971.40"
26-May-19,"8,029.60"
27-May-19,"8,628.90"
28-May-19,"8,759.40"
29-May-19,"8,715.60"
30-May-19,"8,647.80"
31-May-19,"8,271.40"
1-Jun-19,"8,556.90"
2-Jun-19,"8,545.80"
3-Jun-19,"8,728.60"
4-Jun-19,"8,118.10"
5-Jun-19,"7,685.60"
6-Jun-19,"7,779.60"
7-Jun-19,"7,785.80"
8-Jun-19,"7,985.30"
9-Jun-19,"7,901.60"
10-Jun-19,"7,635.00"
11-Jun-19,"7,987.80"
12-Jun-19,"7,888.00"
