Date,Open
1-Jan-16,430
2-Jan-16,434
3-Jan-16,433.7
4-Jan-16,430.7
5-Jan-16,433.3
6-Jan-16,431.2
7-Jan-16,430.8
8-Jan-16,457
9-Jan-16,452.9
10-Jan-16,448.3
11-Jan-16,446.2
12-Jan-16,447.7
13-Jan-16,445
14-Jan-16,432.2
15-Jan-16,429.1
16-Jan-16,372.3
17-Jan-16,385
18-Jan-16,382.5
19-Jan-16,384.4
20-Jan-16,379.5
21-Jan-16,414.6
22-Jan-16,410.2
23-Jan-16,382.6
24-Jan-16,388.6
25-Jan-16,402.1
26-Jan-16,392.8
27-Jan-16,389.8
28-Jan-16,395
29-Jan-16,379.7
30-Jan-16,380.3
31-Jan-16,377.8
1-Feb-16,369.8
2-Feb-16,372.2
3-Feb-16,373.9
4-Feb-16,368
5-Feb-16,390.6
6-Feb-16,386.5
7-Feb-16,376.7
8-Feb-16,377.9
9-Feb-16,372.6
10-Feb-16,375.3
11-Feb-16,381.9
12-Feb-16,379.5
13-Feb-16,384
14-Feb-16,390.1
15-Feb-16,405.5
16-Feb-16,401.1
17-Feb-16,406.4
18-Feb-16,417.1
19-Feb-16,421.4
20-Feb-16,420
21-Feb-16,440.1
22-Feb-16,437.9
23-Feb-16,437.8
24-Feb-16,419.9
25-Feb-16,422.7
26-Feb-16,423.5
27-Feb-16,427.3
28-Feb-16,431.3
29-Feb-16,432.5
1-Mar-16,436.2
2-Mar-16,434
3-Mar-16,425.4
4-Mar-16,419.6
5-Mar-16,409.5
6-Mar-16,399
7-Mar-16,406
8-Mar-16,414.9
9-Mar-16,411.9
10-Mar-16,412.8
11-Mar-16,415.8
12-Mar-16,419.1
13-Mar-16,410.4
14-Mar-16,412.4
15-Mar-16,414.3
16-Mar-16,415.1
17-Mar-16,415.9
18-Mar-16,418.2
19-Mar-16,408.2
20-Mar-16,408.7
21-Mar-16,411.5
22-Mar-16,411.1
23-Mar-16,416.2
24-Mar-16,417
25-Mar-16,414.7
26-Mar-16,415.7
27-Mar-16,416.5
28-Mar-16,424.6
29-Mar-16,422.2
30-Mar-16,415
31-Mar-16,412.4
1-Apr-16,415.7
2-Apr-16,415.6
3-Apr-16,418.5
4-Apr-16,419.1
5-Apr-16,419.3
6-Apr-16,422.1
7-Apr-16,421.3
8-Apr-16,420.1
9-Apr-16,417.7
10-Apr-16,418
11-Apr-16,420.3
12-Apr-16,421.4
13-Apr-16,424.7
14-Apr-16,423.5
15-Apr-16,424
16-Apr-16,428.7
17-Apr-16,430
18-Apr-16,426.3
19-Apr-16,427.7
20-Apr-16,434.9
21-Apr-16,441.2
22-Apr-16,449.3
23-Apr-16,445.3
24-Apr-16,450.1
25-Apr-16,457.6
26-Apr-16,461.7
27-Apr-16,466
28-Apr-16,447
29-Apr-16,448.5
30-Apr-16,455
1-May-16,448.5
2-May-16,452.2
3-May-16,444.2
4-May-16,450.3
5-May-16,445.8
6-May-16,448.1
7-May-16,459.6
8-May-16,458.5
9-May-16,457.9
10-May-16,460.4
11-May-16,449.4
12-May-16,452.5
13-May-16,454.4
14-May-16,455.4
15-May-16,456.4
16-May-16,458.1
17-May-16,454.9
18-May-16,453.3
19-May-16,454.2
20-May-16,442.7
21-May-16,442.1
22-May-16,443.6
23-May-16,439.6
24-May-16,443.7
25-May-16,446.1
26-May-16,449.8
27-May-16,453.3
28-May-16,474
29-May-16,524.2
30-May-16,516
31-May-16,532.3
1-Jun-16,528.9
2-Jun-16,537.4
3-Jun-16,537.1
4-Jun-16,567
5-Jun-16,572
6-Jun-16,574.9
7-Jun-16,583.6
8-Jun-16,575.6
9-Jun-16,580.5
10-Jun-16,574.7
11-Jun-16,577.9
12-Jun-16,591.6
13-Jun-16,666.5
14-Jun-16,700.1
15-Jun-16,685.1
16-Jun-16,690.8
17-Jun-16,761.2
18-Jun-16,743.9
19-Jun-16,753.8
20-Jun-16,761
21-Jun-16,734
22-Jun-16,667.4
23-Jun-16,590.6
24-Jun-16,620.8
25-Jun-16,656.9
26-Jun-16,663.5
27-Jun-16,625.4
28-Jun-16,644.7
29-Jun-16,644.9
30-Jun-16,636.5
1-Jul-16,670
2-Jul-16,674.6
3-Jul-16,698.1
4-Jul-16,661.6
5-Jul-16,675.2
6-Jul-16,663.7
7-Jul-16,672.7
8-Jul-16,635.3
9-Jul-16,662.8
10-Jul-16,651.8
11-Jul-16,647.1
12-Jul-16,646.7
13-Jul-16,670.6
14-Jul-16,661.2
15-Jul-16,657.3
16-Jul-16,664.2
17-Jul-16,660.7
18-Jul-16,676.3
19-Jul-16,670.4
20-Jul-16,671.1
21-Jul-16,664.4
22-Jul-16,664.6
23-Jul-16,651.1
24-Jul-16,655.2
25-Jul-16,659.3
26-Jul-16,654
27-Jul-16,654.4
28-Jul-16,654.5
29-Jul-16,654.1
30-Jul-16,655.4
31-Jul-16,654.7
1-Aug-16,621.9
2-Aug-16,607
3-Aug-16,513.4
4-Aug-16,566.4
5-Aug-16,576.2
6-Aug-16,574.7
7-Aug-16,586.5
8-Aug-16,590.8
9-Aug-16,589.2
10-Aug-16,585.3
11-Aug-16,590.9
12-Aug-16,587.8
13-Aug-16,587.1
14-Aug-16,584.6
15-Aug-16,569.1
16-Aug-16,567
17-Aug-16,580.2
18-Aug-16,572.3
19-Aug-16,573.4
20-Aug-16,574.6
21-Aug-16,582.6
22-Aug-16,580.7
23-Aug-16,587.5
24-Aug-16,583.6
25-Aug-16,579.7
26-Aug-16,578
27-Aug-16,579.4
28-Aug-16,570.3
29-Aug-16,575
30-Aug-16,574.2
31-Aug-16,577.3
1-Sep-16,573.9
2-Sep-16,572
3-Sep-16,575.3
4-Sep-16,598.8
5-Sep-16,609.5
6-Sep-16,605.8
7-Sep-16,610.4
8-Sep-16,613.2
9-Sep-16,625.6
10-Sep-16,623.2
11-Sep-16,624.5
12-Sep-16,605.6
13-Sep-16,608
14-Sep-16,608.6
15-Sep-16,609.5
16-Sep-16,608.1
17-Sep-16,607.8
18-Sep-16,607.1
19-Sep-16,610.7
20-Sep-16,609.8
21-Sep-16,609.2
22-Sep-16,597.2
23-Sep-16,595.6
24-Sep-16,602.9
25-Sep-16,602.6
26-Sep-16,601.5
27-Sep-16,606.5
28-Sep-16,605.5
29-Sep-16,604.7
30-Sep-16,604.7
1-Oct-16,608.1
2-Oct-16,613.4
3-Oct-16,610.7
4-Oct-16,611.6
5-Oct-16,609
6-Oct-16,611.8
7-Oct-16,611
8-Oct-16,616
9-Oct-16,617.7
10-Oct-16,615.8
11-Oct-16,617.3
12-Oct-16,640.5
13-Oct-16,636
14-Oct-16,635.6
15-Oct-16,637.9
16-Oct-16,637
17-Oct-16,640.1
18-Oct-16,637.4
19-Oct-16,635.3
20-Oct-16,629.1
21-Oct-16,628.3
22-Oct-16,630.5
23-Oct-16,655.5
24-Oct-16,653
25-Oct-16,650.5
26-Oct-16,651
27-Oct-16,674.7
28-Oct-16,682.3
29-Oct-16,686.2
30-Oct-16,715
31-Oct-16,697.3
1-Nov-16,698.7
2-Nov-16,726.8
3-Nov-16,733.5
4-Nov-16,684.9
5-Nov-16,702.1
6-Nov-16,702.1
7-Nov-16,709.9
8-Nov-16,705.4
9-Nov-16,710.9
10-Nov-16,721.4
11-Nov-16,714.6
12-Nov-16,715
13-Nov-16,704.3
14-Nov-16,702
15-Nov-16,704.6
16-Nov-16,711.1
17-Nov-16,740.3
18-Nov-16,737.5
19-Nov-16,747
20-Nov-16,747.9
21-Nov-16,728.5
22-Nov-16,736.2
23-Nov-16,749.3
24-Nov-16,741.1
25-Nov-16,735.3
26-Nov-16,740.4
27-Nov-16,734.1
28-Nov-16,729.4
29-Nov-16,733.3
30-Nov-16,732.6
1-Dec-16,742.5
2-Dec-16,752.6
3-Dec-16,770.9
4-Dec-16,764.2
5-Dec-16,766.4
6-Dec-16,754.3
7-Dec-16,758.2
8-Dec-16,765.6
9-Dec-16,768.5
10-Dec-16,770.5
11-Dec-16,774
12-Dec-16,767.9
13-Dec-16,778.5
14-Dec-16,778.7
15-Dec-16,776.5
16-Dec-16,775.2
17-Dec-16,782
18-Dec-16,787.2
19-Dec-16,789
20-Dec-16,789.8
21-Dec-16,799.1
22-Dec-16,829.2
23-Dec-16,860.2
24-Dec-16,917.2
25-Dec-16,891.1
26-Dec-16,891.1
27-Dec-16,898.4
28-Dec-16,925.8
29-Dec-16,972.2
30-Dec-16,971.1
31-Dec-16,959
