Date,Open
1-Jan-18,"13,850.50"
2-Jan-18,"13,444.90"
3-Jan-18,"14,754.10"
4-Jan-18,"15,156.50"
5-Jan-18,"15,180.10"
6-Jan-18,"16,954.80"
7-Jan-18,"17,174.50"
8-Jan-18,"16,228.30"
9-Jan-18,"14,976.20"
10-Jan-18,"14,778.50"
11-Jan-18,"15,046.70"
12-Jan-18,"13,529.20"
13-Jan-18,"13,896.00"
14-Jan-18,"14,291.90"
15-Jan-18,"13,695.50"
16-Jan-18,"13,704.40"
17-Jan-18,"11,357.70"
18-Jan-18,"11,202.00"
19-Jan-18,"11,229.60"
20-Jan-18,"11,579.20"
21-Jan-18,"12,857.10"
22-Jan-18,"11,597.50"
23-Jan-18,"10,869.00"
24-Jan-18,"10,899.40"
25-Jan-18,"11,439.90"
26-Jan-18,"11,203.10"
27-Jan-18,"11,118.00"
28-Jan-18,"11,471.20"
29-Jan-18,"11,794.90"
30-Jan-18,"11,244.50"
31-Jan-18,"10,166.30"
1-Feb-18,"10,266.20"
2-Feb-18,"9,179.80"
3-Feb-18,"8,894.40"
4-Feb-18,"9,241.50"
5-Feb-18,"8,220.80"
6-Feb-18,"6,939.30"
7-Feb-18,"7,693.80"
8-Feb-18,"7,595.10"
9-Feb-18,"8,163.60"
10-Feb-18,"8,697.30"
11-Feb-18,"8,559.70"
12-Feb-18,"8,083.60"
13-Feb-18,"8,906.20"
14-Feb-18,"8,542.60"
15-Feb-18,"9,475.60"
16-Feb-18,"10,031.30"
17-Feb-18,"10,177.30"
18-Feb-18,"11,073.70"
19-Feb-18,"10,396.60"
20-Feb-18,"11,169.70"
21-Feb-18,"11,240.90"
22-Feb-18,"10,470.10"
23-Feb-18,"9,840.60"
24-Feb-18,"10,163.80"
25-Feb-18,"9,703.10"
26-Feb-18,"9,590.90"
27-Feb-18,"10,287.80"
28-Feb-18,"10,584.40"
1-Mar-18,"10,335.10"
2-Mar-18,"10,904.50"
3-Mar-18,"10,822.50"
4-Mar-18,"11,402.80"
5-Mar-18,"11,415.70"
6-Mar-18,"11,314.20"
7-Mar-18,"10,779.00"
8-Mar-18,"9,910.70"
9-Mar-18,"9,301.90"
10-Mar-18,"9,216.20"
11-Mar-18,"8,732.20"
12-Mar-18,"9,535.80"
13-Mar-18,"9,138.70"
14-Mar-18,"9,154.90"
15-Mar-18,"8,210.20"
16-Mar-18,"8,264.30"
17-Mar-18,"8,198.00"
18-Mar-18,"7,873.20"
19-Mar-18,"8,200.90"
20-Mar-18,"8,614.10"
21-Mar-18,"8,912.40"
22-Mar-18,"8,903.70"
23-Mar-18,"8,725.30"
24-Mar-18,"8,917.30"
25-Mar-18,"8,549.10"
26-Mar-18,"8,474.00"
27-Mar-18,"8,146.50"
28-Mar-18,"7,803.00"
29-Mar-18,"7,955.20"
30-Mar-18,"7,132.40"
31-Mar-18,"6,856.50"
1-Apr-18,"6,939.10"
2-Apr-18,"6,825.40"
3-Apr-18,"7,067.20"
4-Apr-18,"7,423.80"
5-Apr-18,"6,808.70"
6-Apr-18,"6,783.70"
7-Apr-18,"6,624.50"
8-Apr-18,"6,905.90"
9-Apr-18,"7,035.70"
10-Apr-18,"6,782.60"
11-Apr-18,"6,855.60"
12-Apr-18,"6,963.30"
13-Apr-18,"7,926.90"
14-Apr-18,"7,891.10"
15-Apr-18,"8,004.60"
16-Apr-18,"8,362.20"
17-Apr-18,"8,070.00"
