Date,Open
1-Jan-15,318.2
2-Jan-15,314.9
3-Jan-15,315.2
4-Jan-15,287.1
5-Jan-15,264.7
6-Jan-15,274.8
7-Jan-15,282.3
8-Jan-15,291.3
9-Jan-15,282.7
10-Jan-15,288
11-Jan-15,273.4
12-Jan-15,264.8
13-Jan-15,269.3
14-Jan-15,221.3
15-Jan-15,164.9
16-Jan-15,209.8
17-Jan-15,206.9
18-Jan-15,199.6
19-Jan-15,210.6
20-Jan-15,215.9
21-Jan-15,210.6
22-Jan-15,228.2
23-Jan-15,232.7
24-Jan-15,232.2
25-Jan-15,248.2
26-Jan-15,252.1
27-Jan-15,269.2
28-Jan-15,263.3
29-Jan-15,236.2
30-Jan-15,234
31-Jan-15,231.8
1-Feb-15,218.5
2-Feb-15,225.3
3-Feb-15,238.9
4-Feb-15,227.4
5-Feb-15,226.6
6-Feb-15,216.5
7-Feb-15,223
8-Feb-15,227.7
9-Feb-15,223.7
10-Feb-15,220.3
11-Feb-15,219.7
12-Feb-15,218.8
13-Feb-15,221.8
14-Feb-15,236.2
15-Feb-15,258.6
16-Feb-15,233.3
17-Feb-15,235.8
18-Feb-15,243.2
19-Feb-15,235.2
20-Feb-15,241.9
21-Feb-15,244.5
22-Feb-15,244.4
23-Feb-15,235.7
24-Feb-15,238.8
25-Feb-15,238.9
26-Feb-15,237.3
27-Feb-15,236.5
28-Feb-15,253.5
1-Mar-15,254.1
2-Mar-15,257.9
3-Mar-15,273.8
4-Mar-15,280.6
5-Mar-15,271.9
6-Mar-15,275.2
7-Mar-15,272.6
8-Mar-15,274.9
9-Mar-15,274.5
10-Mar-15,290
11-Mar-15,291.4
12-Mar-15,295.6
13-Mar-15,293.9
14-Mar-15,287.2
15-Mar-15,281.6
16-Mar-15,284.9
17-Mar-15,290.4
18-Mar-15,285.4
19-Mar-15,255.9
20-Mar-15,260.9
21-Mar-15,261.8
22-Mar-15,259.7
23-Mar-15,268.6
24-Mar-15,265.5
25-Mar-15,246.7
26-Mar-15,246.4
27-Mar-15,248
28-Mar-15,247.2
29-Mar-15,252
30-Mar-15,242.1
31-Mar-15,246.8
1-Apr-15,244.1
2-Apr-15,246.2
3-Apr-15,252.6
4-Apr-15,254.5
5-Apr-15,252.9
6-Apr-15,259.6
7-Apr-15,255
8-Apr-15,253
9-Apr-15,244.6
10-Apr-15,243.3
11-Apr-15,234.7
12-Apr-15,236.5
13-Apr-15,235.9
14-Apr-15,223.6
15-Apr-15,218
16-Apr-15,223
17-Apr-15,228
18-Apr-15,222.6
19-Apr-15,223.4
20-Apr-15,223
21-Apr-15,224.2
22-Apr-15,233.7
23-Apr-15,233.8
24-Apr-15,235.4
25-Apr-15,231.1
26-Apr-15,226.1
27-Apr-15,218.7
28-Apr-15,229
29-Apr-15,225.8
30-Apr-15,225.4
1-May-15,235.8
2-May-15,233.2
3-May-15,235.3
4-May-15,240
5-May-15,239
6-May-15,235.8
7-May-15,230
8-May-15,237.7
9-May-15,243.7
10-May-15,241.4
11-May-15,240
12-May-15,241.8
13-May-15,241.6
14-May-15,236.4
15-May-15,236.9
16-May-15,237.2
17-May-15,236.2
18-May-15,236.3
19-May-15,232.6
20-May-15,232
21-May-15,234
22-May-15,235.4
23-May-15,240.4
24-May-15,238.9
25-May-15,241
26-May-15,237.4
27-May-15,237.8
28-May-15,237.3
29-May-15,237.3
30-May-15,237
31-May-15,233.2
1-Jun-15,229.8
2-Jun-15,223.1
3-Jun-15,225.7
4-Jun-15,225.6
5-Jun-15,224.2
6-Jun-15,225.3
7-Jun-15,224.7
8-Jun-15,223.5
9-Jun-15,228.6
10-Jun-15,229.6
11-Jun-15,228.8
12-Jun-15,229.9
13-Jun-15,230.5
14-Jun-15,232.5
15-Jun-15,233.8
16-Jun-15,237
17-Jun-15,249.8
18-Jun-15,247.4
19-Jun-15,248.4
20-Jun-15,244.1
21-Jun-15,245
22-Jun-15,244.1
23-Jun-15,247.5
24-Jun-15,243.8
25-Jun-15,240.6
26-Jun-15,242.6
27-Jun-15,242.9
28-Jun-15,250.7
29-Jun-15,248.9
30-Jun-15,257
1-Jul-15,264.1
2-Jul-15,257.6
3-Jul-15,254.9
4-Jul-15,255.4
5-Jul-15,260.5
6-Jul-15,270.1
7-Jul-15,269.1
8-Jul-15,266.2
9-Jul-15,268.6
10-Jul-15,269.1
11-Jul-15,283.6
12-Jul-15,292
13-Jul-15,310.4
14-Jul-15,290.4
15-Jul-15,287
16-Jul-15,283.4
17-Jul-15,276.6
18-Jul-15,279.6
19-Jul-15,274
20-Jul-15,273.2
21-Jul-15,277.7
22-Jul-15,275.1
23-Jul-15,276.5
24-Jul-15,275.5
25-Jul-15,288.4
26-Jul-15,288.7
27-Jul-15,291.8
28-Jul-15,293
29-Jul-15,293.7
30-Jul-15,288.4
31-Jul-15,287
1-Aug-15,283.7
2-Aug-15,280.5
3-Aug-15,281.4
4-Aug-15,281.6
5-Aug-15,284.3
6-Aug-15,281.7
7-Aug-15,278
8-Aug-15,277.9
9-Aug-15,258.6
10-Aug-15,263.9
11-Aug-15,263.3
12-Aug-15,269
13-Aug-15,267.7
14-Aug-15,263.4
15-Aug-15,265
16-Aug-15,260.5
17-Aug-15,257.1
18-Aug-15,257.1
19-Aug-15,246.7
20-Aug-15,226
21-Aug-15,234.7
22-Aug-15,232.4
23-Aug-15,229.5
24-Aug-15,226.8
25-Aug-15,211.4
26-Aug-15,220.5
27-Aug-15,225
28-Aug-15,222.7
29-Aug-15,231.6
30-Aug-15,228.5
31-Aug-15,228.4
1-Sep-15,229.5
2-Sep-15,227.2
3-Sep-15,228.6
4-Sep-15,226.2
5-Sep-15,230.3
6-Sep-15,233.7
7-Sep-15,239.9
8-Sep-15,239.6
9-Sep-15,243.2
10-Sep-15,237.4
11-Sep-15,238.1
12-Sep-15,239.9
13-Sep-15,235.6
14-Sep-15,230.2
15-Sep-15,229.9
16-Sep-15,229.5
17-Sep-15,228.6
18-Sep-15,232.7
19-Sep-15,232.2
20-Sep-15,231.1
21-Sep-15,231.1
22-Sep-15,226.3
23-Sep-15,230
24-Sep-15,229.9
25-Sep-15,233.8
26-Sep-15,235
27-Sep-15,234.3
28-Sep-15,232.5
29-Sep-15,238.9
30-Sep-15,236.7
1-Oct-15,235.9
2-Oct-15,237.1
3-Oct-15,236.7
4-Oct-15,238.6
5-Oct-15,238.3
6-Oct-15,240.1
7-Oct-15,246.1
8-Oct-15,243
9-Oct-15,242.6
10-Oct-15,244
11-Oct-15,245.4
12-Oct-15,247.6
13-Oct-15,245.4
14-Oct-15,248.8
15-Oct-15,252.3
16-Oct-15,254.4
17-Oct-15,262.9
18-Oct-15,269.6
19-Oct-15,261.7
20-Oct-15,263.8
21-Oct-15,269.8
22-Oct-15,267.1
23-Oct-15,274.4
24-Oct-15,276.9
25-Oct-15,282.6
26-Oct-15,287.9
27-Oct-15,285.1
28-Oct-15,294.7
29-Oct-15,303.5
30-Oct-15,313.6
31-Oct-15,327.1
1-Nov-15,311.2
2-Nov-15,323
3-Nov-15,359.3
4-Nov-15,396.5
5-Nov-15,400.9
6-Nov-15,382.7
7-Nov-15,369.8
8-Nov-15,385.1
9-Nov-15,371.6
10-Nov-15,380.2
11-Nov-15,336.7
12-Nov-15,304.7
13-Nov-15,333.9
14-Nov-15,333.8
15-Nov-15,331.8
16-Nov-15,317.5
17-Nov-15,330.2
18-Nov-15,333.9
19-Nov-15,335.9
20-Nov-15,325
21-Nov-15,321.1
22-Nov-15,324.7
23-Nov-15,322.8
24-Nov-15,322.1
25-Nov-15,318.4
26-Nov-15,327.5
27-Nov-15,353.7
28-Nov-15,359.5
29-Nov-15,355.8
30-Nov-15,370.8
1-Dec-15,378
2-Dec-15,361.8
3-Dec-15,360
4-Dec-15,360.3
5-Dec-15,361.7
6-Dec-15,386.7
7-Dec-15,393.4
8-Dec-15,394.3
9-Dec-15,410.7
10-Dec-15,416
11-Dec-15,415.5
12-Dec-15,449.8
13-Dec-15,432.3
14-Dec-15,434.7
15-Dec-15,442
16-Dec-15,462.6
17-Dec-15,454
18-Dec-15,455.5
19-Dec-15,463.2
20-Dec-15,461.2
21-Dec-15,441.8
22-Dec-15,437.6
23-Dec-15,437
24-Dec-15,442.4
25-Dec-15,453
26-Dec-15,454
27-Dec-15,415.4
28-Dec-15,422.4
29-Dec-15,421.8
30-Dec-15,431.9
31-Dec-15,427.1
